parent_cod,code,name,area
DZA,DZA.36_1,Saïda,6774025440.46
CMR,CMR.6_1,Nord-Ouest,17465217365.94
CIV,CIV.11_1,Vallée du Bandama,27596351549.42
BWA,BWA.4_1,Gaborone,280769299.54
ZMB,ZMB.10_1,Western,127369889920.42
EGY,EGY.21_1,Dumyat,934190933.23
COG,COG.2_1,Brazzaville,102845741.67
BDI,BDI.1_1,Bubanza,1050500161.38
TZA,TZA.17_1,Njombe,21315964320.83
KEN,KEN.3_1,Bungoma,3568312112.73
GHA,GHA.7_1,Upper East,8598545845.71
MUS,MUS.3_1,Flacq,298778354.60
SEN,SEN.3_1,Fatick,6847160004.16
KEN,KEN.35_1,Nyandarua,3265099603.62
LBY,LBY.3_1,Al Jabal al Gharbi,85602868955.28
MOZ,MOZ.11_1,Zambezia,102894386374.54
NER,NER.1_1,Agadez,623523485420.91
DZA,DZA.39_1,Skikda,4143244830.66
TCD,TCD.5_1,Ennedi Est,77365447233.16
SDN,SDN.16_1,West Darfur,22663908420.77
DZA,DZA.22_1,Illizi,293535474732.58
NAM,NAM.5_1,Khomas,37079198774.88
COD,COD.25_1,Tshopo,200455231483.11
SYC,SYC.26_1,Takamaka,11853801.34
CPV,CPV.10_1,Ribeira Grande de Santiago,140625310.04
KEN,KEN.11_1,Kakamega,2439359389.14
CIV,CIV.2_1,Bas-Sassandra,27789229721.06
UGA,UGA.49_1,Pader,6854830172.33
BFA,BFA.2_1,Cascades,18577615229.70
NGA,NGA.27_1,Niger,71017996142.31
ZWE,ZWE.2_1,Harare,896241606.67
TUN,TUN.13_1,Manubah,1007741865.98
STP,STP.2_1,São Tomé,858368351.00
MYT,MYT.11_1,M'tsangamouji,23617154.99
GAB,GAB.3_1,Moyen-Ogooué,17829937660.75
UGA,UGA.54_1,Sironko,1101039708.82
CAF,CAF.11_1,Nana-Mambéré,27104217361.38
DZA,DZA.15_1,Constantine,2244894236.67
SSD,SSD.9_1,West Bahr-al-Ghazal,85514141839.87
NGA,NGA.11_1,Ebonyi,6195752956.00
TGO,TGO.2_1,Kara,11530255515.45
SDN,SDN.18_1,White Nile,39984861941.21
TCD,TCD.16_1,Moyen-Chari,41473808260.63
TZA,TZA.16_1,Mwanza,25971824143.90
BEN,BEN.9_1,Mono,1592334263.61
ETH,ETH.10_1,"Southern Nations, Nationalities and Peoples",108935509617.10
UGA,UGA.30_1,Kyenjojo,4091527163.79
SWZ,SWZ.2_1,Lubombo,5851164688.25
ETH,ETH.7_1,Harari People,366784256.10
ZMB,ZMB.1_1,Central,94550578241.39
AGO,AGO.3_1,Bié,72052677148.36
SOM,SOM.16_1,Sool,38030798920.67
DJI,DJI.2_1,Dikhil,7929942344.08
DZA,DZA.37_1,Sétif,6666534200.59
CMR,CMR.7_1,Nord,66356990935.64
COM,COM.1_1,Mwali,430117605.82
MDG,MDG.1_1,Antananarivo,59857560738.97
CPV,CPV.19_1,São Salvador do Mundo,31705456.95
SOM,SOM.1_1,Awdal,16290280384.13
MWI,MWI.28_1,Zomba,3082856193.23
UGA,UGA.17_1,Kamuli,4302141261.22
EGY,EGY.22_1,Janub Sina',29286217692.86
TZA,TZA.18_1,Pemba North,542949809.55
GHA,GHA.8_1,Upper West,18908481119.19
EGY,EGY.5_1,Al Gharbiyah,1998937020.15
CAF,CAF.10_1,Nana-Grébizi,19667131109.98
KEN,KEN.36_1,Nyeri,3336292991.47
MWI,MWI.12_1,Machinga,3879079118.79
DZA,DZA.25_1,Laghouat,27556672792.11
UGA,UGA.33_1,Lira,7244665258.49
TCD,TCD.6_1,Ennedi Ouest,111048403203.56
SDN,SDN.17_1,West Kurdufan,112964615334.27
MLI,MLI.3_1,Kayes,121843943133.74
DZA,DZA.23_1,Jijel,2397393474.07
NAM,NAM.6_1,Kunene,115330684821.75
GNB,GNB.6_1,Gabú,9036854881.36
PRT,PRT.13_1,Madeira,753138531.30
COD,COD.26_1,Tshuapa,132918033243.21
SYC,SYC.20_1,Outer Islands,205446581.39
SWZ,SWZ.1_1,Hhohho,3645367543.50
UGA,UGA.40_1,Moroto,8513420450.88
MRT,MRT.1_1,Adrar,222149869295.21
CMR,CMR.10_1,Sud,47276366081.05
NGA,NGA.28_1,Ogun,16089074009.60
ZWE,ZWE.3_1,Manicaland,35592824368.15
TUN,TUN.14_1,Médenine,8655601303.47
MYT,MYT.12_1,Mamoudzou,45221707.11
DZA,DZA.47_1,Tizi Ouzou,2972850073.65
GAB,GAB.4_1,Ngounié,38387342477.96
KEN,KEN.42_1,Trans Nzoia,2464156308.94
UGA,UGA.55_1,Soroti,3379430421.78
MDG,MDG.3_1,Fianarantsoa,100775399869.27
CAF,CAF.2_1,Bangui,92655544.67
TGO,TGO.3_1,Maritime,6257964116.41
BEN,BEN.3_1,Atlantique,3071866948.75
TCD,TCD.17_1,Ouaddaï,29750138525.13
DZA,DZA.31_1,Naâma,29774777818.60
SWZ,SWZ.3_1,Manzini,4123011486.26
ETH,ETH.8_1,Oromia,323041329304.45
ZMB,ZMB.2_1,Copperbelt,31393431604.94
AGO,AGO.4_1,Cabinda,7047807665.20
SOM,SOM.17_1,Togdheer,34106751823.42
KEN,KEN.20_1,Laikipia,9526642234.38
CIV,CIV.3_1,Comoé,14602110499.71
KEN,KEN.44_1,Uasin Gishu,3424224906.02
MDG,MDG.2_1,Antsiranana,43888994635.14
CAF,CAF.4_1,Haut-Mbomou,56357300190.85
UGA,UGA.18_1,Kamwenge,2396365975.13
REU,REU.1_1,Saint-Benoît,738106094.93
EGY,EGY.23_1,Kafr ash Shaykh,3762920191.49
TCD,TCD.19_1,Sila,35709213071.89
BDI,BDI.10_1,Kirundo,1767724719.53
TZA,TZA.19_1,Pemba South,448949361.71
TUN,TUN.24_1,Zaghouan,2855567219.88
COD,COD.10_1,Kinshasa,10796310598.25
EGY,EGY.6_1,Al Iskandariyah,2549064488.78
BEN,BEN.1_1,Alibori,26484989391.18
KEN,KEN.37_1,Samburu,20946629529.92
TZA,TZA.1_1,Arusha,38062125997.33
MWI,MWI.13_1,Mangochi,9060668738.34
LBR,LBR.1_1,Bomi,2105023270.80
DZA,DZA.26_1,M'Sila,17935413285.56
UGA,UGA.34_1,Luwero,5695534825.19
SYC,SYC.5_1,Au Cap,8531180.10
TCD,TCD.7_1,Guéra,61037556075.40
MAR,MAR.8_1,Marrakech - Tensift - Al Haouz,32385303330.90
BEN,BEN.10_1,Ouémé,1350112904.57
MLI,MLI.4_1,Kidal,145192543032.62
CIV,CIV.5_1,Gôh-Djiboua,15723002857.10
SYC,SYC.12_1,English River,1670440.14
GNB,GNB.7_1,Oio,5466182804.13
SYC,SYC.21_1,Plaisance,3427260.86
COM,COM.2_1,Njazídja,1024272810.37
COD,COD.9_1,Kasaï,96587980430.82
UGA,UGA.41_1,Moyo,1855019741.82
UGA,UGA.9_1,Hoima,3636449887.51
SOM,SOM.2_1,Bakool,25711072159.90
TUN,TUN.6_1,Gafsa,7391641442.88
NGA,NGA.29_1,Ondo,14533696615.34
SDN,SDN.6_1,Kassala,45614438736.17
ZWE,ZWE.4_1,Mashonaland Central,28331642818.46
MYT,MYT.13_1,Mtsamboro,17772104.21
DZA,DZA.48_1,Tlemcen,9057103076.84
GAB,GAB.5_1,Nyanga,21817553805.03
KEN,KEN.43_1,Turkana,63727390324.69
UGA,UGA.56_1,Tororo,1849152213.90
MDG,MDG.4_1,Mahajanga,151679961303.31
ZWE,ZWE.6_1,Mashonaland West,57399317049.53
TUN,TUN.5_1,Gabès,7469768717.36
CAF,CAF.3_1,Basse-Kotto,16806920122.81
MWI,MWI.5_1,Chitipa,4082675825.53
UGA,UGA.28_1,Kotido,13280704707.82
BEN,BEN.4_1,Borgou,26077308206.39
TCD,TCD.18_1,Salamat,67957259453.31
CPV,CPV.7_1,Praia,102236880.97
TUN,TUN.23_1,Tunis,266452253.94
LBY,LBY.10_1,An Nuqat al Khams,6332404635.65
DZA,DZA.32_1,Oran,2137108693.72
SWZ,SWZ.4_1,Shiselweni,3761099574.93
ETH,ETH.9_1,Somali,312283041973.89
SOM,SOM.18_1,Woqooyi Galbeed,27922157376.61
LBY,LBY.19_1,Surt,78656111080.23
EGY,EGY.16_1,Ash Sharqiyah,5329186254.51
KEN,KEN.21_1,Lamu,6655790655.29
SYC,SYC.4_1,Anse Royale,8120342.40
SEN,SEN.10_1,Saint-Louis,20259188095.74
CIV,CIV.4_1,Denguélé,21200407979.74
SSD,SSD.4_1,Lakes,42971787269.79
KEN,KEN.45_1,Vihiga,559596244.76
CAF,CAF.5_1,Haute-Kotto,86051807548.27
MWI,MWI.7_1,Dowa,3061298791.88
UGA,UGA.19_1,Kanungu,1306009017.23
LSO,LSO.1_1,Berea,1993073004.84
REU,REU.2_1,Saint-Denis,418989908.89
SDN,SDN.10_1,Northern,366306677689.23
COD,COD.11_1,Kongo-Central,53846419383.64
EGY,EGY.7_1,Al Isma`iliyah,5687838763.90
KEN,KEN.38_1,Siaya,3492881134.24
GNB,GNB.9_1,Tombali,3430779822.93
BEN,BEN.2_1,Atakora,20798431240.19
TZA,TZA.2_1,Dar es Salaam,1632592363.54
MWI,MWI.14_1,Mchinji,3141195043.03
DZA,DZA.27_1,Mascara,5670252195.29
MAR,MAR.9_1,Meknès - Tafilalet,60109240199.78
BEN,BEN.11_1,Plateau,3220980772.80
SYC,SYC.13_1,Glacis,6366659.30
TZA,TZA.28_1,Zanzibar North,450421435.30
SYC,SYC.22_1,Pointe La Rue,3695795.58
UGA,UGA.42_1,Mpigi,3294536377.09
SEN,SEN.8_1,Louga,24677513011.41
GHA,GHA.3_1,Central,9660000544.39
TUN,TUN.7_1,Jendouba,3055517529.78
ERI,ERI.4_1,Gash Barka,32503683033.22
SDN,SDN.7_1,Khartoum,21142693809.84
KEN,KEN.31_1,Nakuru,7478369095.50
ZWE,ZWE.5_1,Mashonaland East,32101264213.17
MRT,MRT.11_1,Tagant,94872097185.38
KEN,KEN.8_1,Homa Bay,4678121017.48
SSD,SSD.3_1,Jungoli,122186707962.26
UGA,UGA.57_1,Wakiso,1923913844.00
TCD,TCD.1_1,Barh el Ghazel,56310663594.69
MDG,MDG.5_1,Toamasina,71265093074.74
ZWE,ZWE.7_1,Masvingo,56282434299.77
MWI,MWI.6_1,Dedza,5118038535.56
UGA,UGA.29_1,Kumi,2840591003.83
TZA,TZA.12_1,Mara,30620322904.34
BEN,BEN.5_1,Collines,14218640158.70
DZA,DZA.7_1,Béchar,161007468255.00
NAM,NAM.1_1,!Karas,161194547544.47
CPV,CPV.8_1,Ribeira Brava,233687448.79
MOZ,MOZ.1_1,Cabo Delgado,77731322662.79
SYC,SYC.6_1,Baie Lazare,12780936.73
DZA,DZA.33_1,Ouargla,154230881486.30
COD,COD.21_1,Sankuru,108234177488.62
BWA,BWA.14_1,South-East,1690740380.19
GNB,GNB.8_1,Quinara,3009092879.45
CMR,CMR.1_1,Adamaoua,63971375936.21
KEN,KEN.16_1,Kisii,1315822611.37
EGY,EGY.17_1,Aswan,61108109315.46
MWI,MWI.24_1,Phalombe,1447477824.36
KEN,KEN.22_1,Machakos,6016625322.70
GMB,GMB.4_1,North Bank,2262096960.02
ISR,ISR.2_1,HaDarom,14509041905.44
SSD,SSD.5_1,North Bahr-al-Ghazal,32182595335.42
MYT,MYT.17_1,Tsingoni,35151370.91
TCD,TCD.12_1,Logone Oriental,23723812494.23
ATF,ATF.2_1,Îles Éparses,39812130.60
MWI,MWI.8_1,Karonga,8753334562.10
NGA,NGA.16_1,Gombe,18189978180.22
RWA,RWA.1_1,Amajyaruguru,3250256642.94
REU,REU.3_1,Saint-Paul,470872991.54
SDN,SDN.11_1,Red Sea,216532376236.17
GIN,GIN.6_1,Labé,22830559938.13
COD,COD.12_1,Kwango,89994164245.64
SLE,SLE.1_1,Eastern,15736426137.42
EGY,EGY.8_1,Al Jizah,36361451069.73
NGA,NGA.30_1,Osun,9184430091.71
MWI,MWI.15_1,Mulanje,1990600642.95
MYT,MYT.8_1,Dzaoudzi,8260136.85
SYC,SYC.14_1,Grand' Anse,14640993.94
TZA,TZA.29_1,Zanzibar South and Central,896444535.03
SYC,SYC.23_1,Port Glaud,26599799.81
DZA,DZA.43_1,Tiaret,20114534679.46
BFA,BFA.10_1,Nord,16421555934.21
ESP,ESP.7_1,Ceuta y Melilla,25921035.97
SEN,SEN.9_1,Matam,28001360479.91
GHA,GHA.4_1,Eastern,18503191046.78
TUN,TUN.8_1,Kairouan,6623837711.87
MRT,MRT.7_1,Hodh ech Chargui,186526833794.65
COG,COG.10_1,Pointe Noire,49486780.37
CPV,CPV.20_1,São Vicente,269117933.78
BDI,BDI.7_1,Gitega,1898110619.55
ERI,ERI.5_1,Maekel,9425760529.06
SDN,SDN.8_1,North Darfur,317173196555.42
UGA,UGA.12_1,Kabale,1755106899.42
KEN,KEN.32_1,Nandi,2831565093.22
MRT,MRT.12_1,Tiris Zemmour,261323481932.37
KEN,KEN.9_1,Isiolo,25448284925.27
DZA,DZA.9_1,Biskra,21499750661.60
TCD,TCD.2_1,Batha,90409269796.50
ZWE,ZWE.8_1,Matabeleland North,75502106233.16
TCD,TCD.10_1,Lac,19843901460.37
LBY,LBY.9_1,Al Wahat,194126099087.08
NER,NER.7_1,Tillabéry,90617867475.42
BEN,BEN.6_1,Donga,10930012388.19
NAM,NAM.2_1,Erongo,63615840566.88
ESP,ESP.14_1,Islas Canarias,7511855926.53
CPV,CPV.9_1,Ribeira Grande,165326474.72
MOZ,MOZ.2_1,Gaza,75467891717.02
GNB,GNB.2_1,Biombo,762645819.53
DZA,DZA.34_1,Oum el Bouaghi,6259719513.91
SOM,SOM.11_1,Mudug,58406795469.53
BFA,BFA.13_1,Sud-Ouest,16333446925.62
COD,COD.22_1,Sud-Kivu,64149605821.66
CMR,CMR.2_1,Centre,68805724983.82
KEN,KEN.17_1,Kisumu,2668472599.83
NGA,NGA.6_1,Bayelsa,9281616121.13
MWI,MWI.25_1,Rumphi,6689467443.16
EGY,EGY.18_1,Asyut,16493513091.88
UGA,UGA.51_1,Rakai,4239562374.27
AGO,AGO.17_1,Uíge,62018793957.59
UGA,UGA.46_1,Nakasongola,3512262761.33
GMB,GMB.5_1,Upper River,2069929247.07
COG,COG.8_1,Niari,25519134711.04
SSD,SSD.6_1,Unity,36526127450.96
LBY,LBY.20_1,Tripoli,2431840538.83
MUS,MUS.9_1,Rivière du Rempart,153598352.93
TCD,TCD.13_1,Mandoul,17439951499.80
NGA,NGA.17_1,Imo,5307672415.56
REU,REU.4_1,Saint-Pierre,888557514.86
COG,COG.7_1,Likouala,66722875560.87
SDN,SDN.12_1,River Nile,126120155578.32
MAR,MAR.12_1,Souss - Massa - Draâ,72115582471.91
BDI,BDI.6_1,Cibitoke,1554936331.87
TZA,TZA.13_1,Mbeya,61703448856.99
DZA,DZA.8_1,Béjaïa,3233773222.98
MAR,MAR.4_1,Gharb - Chrarda - Béni Hssen,8759668164.22
SLE,SLE.2_1,Northern,36008098468.02
SOM,SOM.13_1,Sanaag,53875151794.00
AGO,AGO.9_1,Huambo,33135838209.58
LBY,LBY.8_1,Al Marqab,8223771573.41
TCD,TCD.20_1,Tandjilé,17533370226.39
MYT,MYT.9_1,Kani-Keli,20315611.98
NAM,NAM.10_1,Oshana,8653645640.01
TUN,TUN.19_1,Siliana,4696219965.56
DZA,DZA.44_1,Tindouf,161561495100.36
NGA,NGA.23_1,Kogi,28934741338.80
UGA,UGA.50_1,Pallisa,2000406090.79
MRT,MRT.8_1,Hodh el Gharbi,50268228739.52
CPV,CPV.21_1,Tarrafal,118279728.25
COG,COG.11_1,Pool,35156744574.99
BDI,BDI.8_1,Karuzi,1407750953.89
SDN,SDN.9_1,North Kurdufan,188194807897.35
UGA,UGA.13_1,Kabarole,1828244269.97
ERI,ERI.6_1,Semenawi Keyih Bahri,21477754144.75
KEN,KEN.33_1,Narok,18018072614.18
MRT,MRT.13_1,Trarza,68762077802.08
EGY,EGY.2_1,Al Bahr al Ahmar,104671499554.29
GIN,GIN.7_1,Mamou,17829407203.35
MWI,MWI.1_1,Balaka,2134121370.52
CAF,CAF.16_1,Sangha-Mbaéré,18495010754.95
TCD,TCD.3_1,Borkou,256227618873.25
MUS,MUS.8_1,Port Louis,40992479.78
ZWE,ZWE.9_1,Matabeleland South,54684104273.72
LBR,LBR.6_1,GrandGedeh,10252369116.34
ZMB,ZMB.7_1,North-Western,124164225288.89
UGA,UGA.5_1,Bundibugyo,2042237009.96
SOM,SOM.12_1,Nugaal,27487732711.45
GNB,GNB.3_1,Bissau,83228745.25
COD,COD.20_1,Nord-Ubangi,54181886127.24
COD,COD.23_1,Sud-Ubangi,52038412205.53
COD,COD.5_1,Haut-Uélé,91210656810.48
ETH,ETH.3_1,Amhara,155360725301.78
KEN,KEN.18_1,Kitui,30454478330.58
CMR,CMR.3_1,Est,108916774471.96
NGA,NGA.7_1,Benue,31324826850.77
LBR,LBR.14_1,River Gee,6196508729.84
MWI,MWI.26_1,Salima,3121985481.27
EGY,EGY.19_1,Bani Suwayf,10674423555.70
GAB,GAB.1_1,Estuaire,19897160491.07
UGA,UGA.52_1,Rukungiri,1520837491.35
CPV,CPV.15_1,São Domingos,159105608.68
UGA,UGA.15_1,Kalangala,481472781.28
GMB,GMB.6_1,Western,1737666333.07
TUN,TUN.1_1,Ariana,546232976.11
COG,COG.9_1,Plateaux,39863404799.07
BFA,BFA.7_1,Centre,2871048378.57
LBY,LBY.21_1,Wadi al Hayat,33276283687.81
TCD,TCD.14_1,Mayo-Kebbi Est,18052577891.99
NGA,NGA.18_1,Jigawa,23993952044.64
SDN,SDN.13_1,Sennar,40318491551.92
MAR,MAR.13_1,Tadla - Azilal,15568878332.57
CPV,CPV.3_1,Maio,268672084.93
NER,NER.8_1,Zinder,145747887669.94
TZA,TZA.14_1,Morogoro,70119116098.35
SOM,SOM.14_1,Shabeellaha Dhexe,18502634771.81
EGY,EGY.1_1,Ad Daqahliyah,3706237619.75
TCD,TCD.21_1,Tibesti,126074927673.70
TZA,TZA.30_1,Zanzibar West,239405957.74
DZA,DZA.45_1,Tipaza,1733318701.46
NGA,NGA.24_1,Kwara,35421506161.05
TUN,TUN.10_1,Kebili,21882160046.25
LSO,LSO.6_1,Mohale's Hoek,3439719845.78
MRT,MRT.9_1,Inchiri,44708310525.59
BDI,BDI.9_1,Kayanza,1182279664.13
UGA,UGA.14_1,Kaberamaido,1626461033.42
KEN,KEN.34_1,Nyamira,898942752.74
BDI,BDI.16_1,Rutana,1856534926.95
EGY,EGY.3_1,Al Buhayrah,11446152008.05
MWI,MWI.2_1,Blantyre,2028589838.37
GIN,GIN.8_1,Nzérékoré,36515637598.52
CAF,CAF.17_1,Vakaga,46689503289.83
MOZ,MOZ.10_1,Tete,100799960435.74
MAR,MAR.5_1,Grand Casablanca,872430008.03
TZA,TZA.7_1,Katavi,49086862148.20
MWI,MWI.10_1,Likoma,19881510.34
GNQ,GNQ.4_1,Centro Sur,8413577943.41
BWA,BWA.10_1,Lobatse,23101128.15
ZMB,ZMB.8_1,Northern,79150505913.11
DZA,DZA.38_1,Sidi Bel Abbès,9372030823.45
UGA,UGA.6_1,Bushenyi,4298632535.65
GNB,GNB.4_1,Bolama,1528347704.24
TZA,TZA.24_1,Simiyu,25049971025.49
CIV,CIV.1_1,Abidjan,2106553690.41
COD,COD.24_1,Tanganyika,132720787432.46
COD,COD.6_1,Ituri,64950629931.22
ETH,ETH.4_1,Benshangul-Gumaz,50197939301.43
ZWE,ZWE.1_1,Bulawayo,455107761.38
KEN,KEN.19_1,Kwale,8378770978.61
NGA,NGA.8_1,Borno,71393465551.95
SOM,SOM.8_1,Hiiraan,34106194358.58
MWI,MWI.27_1,Thyolo,1666981490.32
LBR,LBR.15_1,Sinoe,9371210061.71
UGA,UGA.53_1,Sembabule,2319297803.53
CPV,CPV.16_1,São Filipe,338226373.10
TUN,TUN.2_1,Béja,3510378569.00
BFA,BFA.8_1,Est,46599562119.90
SDN,SDN.2_1,Al Qadarif,64073869282.11
KEN,KEN.40_1,Tana River,39223876607.77
LBY,LBY.22_1,Wadi ash Shati',93576438425.87
TCD,TCD.15_1,Mayo-Kebbi Ouest,12534288090.99
NGA,NGA.19_1,Kaduna,44312397956.05
TUN,TUN.20_1,Sousse,2672463683.76
LBR,LBR.7_1,GrandKru,3695095753.25
MAR,MAR.14_1,Tanger - Tétouan,11805365704.08
DZA,DZA.3_1,Aïn Témouchent,2403760221.53
BDI,BDI.15_1,Ngozi,1399955820.71
CPV,CPV.4_1,Mosteiros,80943387.40
UGA,UGA.24_1,Kibale,4244977461.91
TZA,TZA.23_1,Shinyanga,16420581892.79
TZA,TZA.15_1,Mtwara,17953620358.27
ETH,ETH.6_1,Gambela Peoples,30628315655.87
TCD,TCD.22_1,Ville de N'Djamena,396346640.78
KEN,KEN.27_1,Migori,3201284631.49
SYC,SYC.1_1,Anse aux Pins,1679066.50
NGA,NGA.25_1,Lagos,3779791304.93
LSO,LSO.7_1,Mokhotlong,4167068344.85
GIN,GIN.2_1,Conakry,413588024.33
SOM,SOM.7_1,Gedo,45038220255.95
BDI,BDI.17_1,Ruyigi,2249386584.40
COD,COD.17_1,Maniema,127600959383.34
EGY,EGY.4_1,Al Fayyum,5848516286.85
MYT,MYT.4_1,Boueni,15123558.31
MWI,MWI.3_1,Chikwawa,4879571925.23
MAR,MAR.6_1,Guelmim - Es-Semara,64466908139.44
MWI,MWI.11_1,Lilongwe,6247662614.98
GNQ,GNQ.5_1,Kié-Ntem,3453086753.34
BWA,BWA.11_1,North-East,5247000107.52
ZMB,ZMB.9_1,Southern,85992898931.58
