Geography,ISO_3,CONTINENT
Northern Cyprus,CYP,Asia
Somaliland,SOM,Africa
Kosovo,XKX,Europe
Afghanistan,AFG,Asia
Angola,AGO,Africa
Albania,ALB,Europe
United Arab Emirates,ARE,Asia
Argentina,ARG,South America
Armenia,ARM,Asia
Antarctica,ATA,Antarctica
French Southern and Antarctic Lands,ATF,Seven seas (open ocean)
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Bangladesh,BGD,Asia
Bulgaria,BGR,Europe
Bahamas,BHS,North America
Bosnia and Herzegovina,BIH,Europe
Belarus,BLR,Europe
Belize,BLZ,North America
Bolivia,BOL,South America
Brazil,BRA,South America
Brunei Darussalam,BRN,Asia
Bhutan,BTN,Asia
Botswana,BWA,Africa
Central African Republic,CAF,Africa
Canada,CAN,North America
Switzerland,CHE,Europe
Chile,CHL,South America
China,CHN,Asia
C̫te d'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Democratic Republic of the Congo,COD,Africa
Republic of the Congo,COG,Africa
Colombia,COL,South America
Costa Rica,CRI,North America
Cuba,CUB,North America
Cyprus,CYP,Asia
Czech Republic,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Africa
Denmark,DNK,Europe
Dominican Republic,DOM,North America
Algeria,DZA,Africa
Ecuador,ECU,South America
Egypt,EGY,Africa
Eritrea,ERI,Africa
Western Sahara,ESH,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
Finland,FIN,Europe
Fiji,FJI,Oceania
Falkland Islands,FLK,South America
France,FRA,Europe
Gabon,GAB,Africa
United Kingdom,GBR,Europe
Georgia,GEO,Asia
Ghana,GHA,Africa
Guinea,GIN,Africa
The Gambia,GMB,Africa
Guinea-Bissau,GNB,Africa
Equatorial Guinea,GNQ,Africa
Greece,GRC,Europe
Greenland,GRL,North America
Guatemala,GTM,North America
Guyana,GUY,South America
Honduras,HND,North America
Croatia,HRV,Europe
Haiti,HTI,North America
Hungary,HUN,Europe
Indonesia,IDN,Asia
India,IND,Asia
Ireland,IRL,Europe
Iran,IRN,Asia
Iraq,IRQ,Asia
Iceland,ISL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Jordan,JOR,Asia
Japan,JPN,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kyrgyzstan,KGZ,Asia
Cambodia,KHM,Asia
Republic of Korea,KOR,Asia
Kuwait,KWT,Asia
Lao PDR,LAO,Asia
Lebanon,LBN,Asia
Liberia,LBR,Africa
Libya,LBY,Africa
Sri Lanka,LKA,Asia
Lesotho,LSO,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Latvia,LVA,Europe
Morocco,MAR,Africa
Moldova,MDA,Europe
Madagascar,MDG,Africa
Mexico,MEX,North America
Macedonia,MKD,Europe
Mali,MLI,Africa
Myanmar,MMR,Asia
Montenegro,MNE,Europe
Mongolia,MNG,Asia
Mozambique,MOZ,Africa
Mauritania,MRT,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Namibia,NAM,Africa
New Caledonia,NCL,Oceania
Niger,NER,Africa
Nigeria,NGA,Africa
Nicaragua,NIC,North America
Netherlands,NLD,Europe
Norway,NOR,Europe
Nepal,NPL,Asia
New Zealand,NZL,Oceania
Oman,OMN,Asia
Pakistan,PAK,Asia
Panama,PAN,North America
Peru,PER,South America
Philippines,PHL,Asia
Papua New Guinea,PNG,Oceania
Poland,POL,Europe
Puerto Rico,PRI,North America
Dem. Rep. Korea,PRK,Asia
Portugal,PRT,Europe
Paraguay,PRY,South America
Palestine,PSE,Asia
Qatar,QAT,Asia
Romania,ROU,Europe
Russian Federation,RUS,Europe
Rwanda,RWA,Africa
Saudi Arabia,SAU,Asia
Sudan,SDN,Africa
Senegal,SEN,Africa
Solomon Islands,SLB,Oceania
Sierra Leone,SLE,Africa
El Salvador,SLV,North America
Somalia,SOM,Africa
Serbia,SRB,Europe
South Sudan,SSD,Africa
Suriname,SUR,South America
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Sweden,SWE,Europe
eSwatini,SWZ,Africa
Syria,SYR,Asia
Chad,TCD,Africa
Togo,TGO,Africa
Thailand,THA,Asia
Tajikistan,TJK,Asia
Turkmenistan,TKM,Asia
Timor-Leste,TLS,Asia
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Turkey,TUR,Asia
Taiwan,TWN,Asia
Tanzania,TZA,Africa
Uganda,UGA,Africa
Ukraine,UKR,Europe
Uruguay,URY,South America
United States,USA,North America
Uzbekistan,UZB,Asia
Venezuela,VEN,South America
Vietnam,VNM,Asia
Vanuatu,VUT,Oceania
Yemen,YEM,Asia
South Africa,ZAF,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
